Time (s),Absorbance Run #3,Transmittance Run #3,Concentration (mol/L) Run #3,,Untitled.sp,,,Run #3
150.6,0.15,70.813,0.15,,,,,
150.8,0.15,70.783,0.15,,,,,
151,0.149,70.997,0.149,,,,,
151.2,0.148,71.131,0.148,,,,,
151.4,0.148,71.072,0.148,,,,,
151.6,0.148,71.076,0.148,,,,,
151.8,0.149,71.036,0.149,,,,,
152,0.147,71.215,0.147,,,,,
152.2,0.147,71.275,0.147,,,,,
152.4,0.147,71.332,0.147,,,,,
152.6,0.148,71.188,0.148,,,,,
152.8,0.147,71.251,0.147,,,,,
153,0.146,71.417,0.146,,,,,
153.2,0.147,71.334,0.147,,,,,
153.4,0.145,71.636,0.145,,,,,
153.6,0.147,71.338,0.147,,,,,
153.8,0.146,71.462,0.146,,,,,
154,0.146,71.427,0.146,,,,,
154.2,0.146,71.509,0.146,,,,,
154.4,0.145,71.651,0.145,,,,,
154.6,0.146,71.493,0.146,,,,,
154.8,0.146,71.388,0.146,,,,,
155,0.145,71.611,0.145,,,,,
155.2,0.144,71.747,0.144,,,,,
155.4,0.145,71.602,0.145,,,,,
155.6,0.143,71.961,0.143,,,,,
155.8,0.144,71.761,0.144,,,,,
156,0.144,71.851,0.144,,,,,
156.2,0.145,71.664,0.145,,,,,
156.4,0.143,71.874,0.143,,,,,
156.6,0.143,71.947,0.143,,,,,
156.8,0.144,71.713,0.144,,,,,
157,0.143,71.95,0.143,,,,,
157.2,0.141,72.336,0.141,,,,,
157.4,0.143,71.878,0.143,,,,,
157.6,0.142,72.157,0.142,,,,,
157.8,0.143,71.956,0.143,,,,,
158,0.144,71.862,0.144,,,,,
158.2,0.142,72.125,0.142,,,,,
158.4,0.142,72.192,0.142,,,,,
158.6,0.14,72.492,0.14,,,,,
158.8,0.14,72.512,0.14,,,,,
159,0.14,72.371,0.14,,,,,
159.2,0.14,72.435,0.14,,,,,
159.4,0.14,72.437,0.14,,,,,
159.6,0.139,72.593,0.139,,,,,
159.8,0.138,72.809,0.138,,,,,
160,0.14,72.499,0.14,,,,,
160.2,0.138,72.698,0.138,,,,,
160.4,0.139,72.529,0.139,,,,,
160.6,0.142,72.102,0.142,,,,,
160.8,0.138,72.744,0.138,,,,,
161,0.139,72.53,0.139,,,,,
161.2,0.138,72.785,0.138,,,,,
161.4,0.139,72.677,0.139,,,,,
161.6,0.139,72.642,0.139,,,,,
161.8,0.138,72.86,0.138,,,,,
162,0.137,72.875,0.137,,,,,
162.2,0.137,72.896,0.137,,,,,
162.4,0.137,72.936,0.137,,,,,
162.6,0.138,72.757,0.138,,,,,
162.8,0.137,72.905,0.137,,,,,
163,0.136,73.096,0.136,,,,,
163.2,0.137,72.996,0.137,,,,,
163.4,0.135,73.222,0.135,,,,,
163.6,0.135,73.294,0.135,,,,,
163.8,0.136,73.087,0.136,,,,,
164,0.136,73.078,0.136,,,,,
164.2,0.136,73.131,0.136,,,,,
164.4,0.135,73.21,0.135,,,,,
164.6,0.134,73.432,0.134,,,,,
164.8,0.134,73.387,0.134,,,,,
165,0.134,73.506,0.134,,,,,
165.2,0.135,73.367,0.135,,,,,
165.4,0.135,73.318,0.135,,,,,
165.6,0.134,73.423,0.134,,,,,
165.8,0.134,73.513,0.134,,,,,
166,0.134,73.513,0.134,,,,,
166.2,0.133,73.618,0.133,,,,,
166.4,0.134,73.426,0.134,,,,,
166.6,0.133,73.597,0.133,,,,,
166.8,0.133,73.611,0.133,,,,,
167,0.133,73.669,0.133,,,,,
167.2,0.132,73.82,0.132,,,,,
167.4,0.132,73.751,0.132,,,,,
167.6,0.133,73.643,0.133,,,,,
167.8,0.132,73.84,0.132,,,,,
168,0.133,73.562,0.133,,,,,
168.2,0.132,73.784,0.132,,,,,
168.4,0.133,73.651,0.133,,,,,
168.6,0.131,73.997,0.131,,,,,
168.8,0.131,74.016,0.131,,,,,
169,0.131,73.903,0.131,,,,,
169.2,0.132,73.867,0.132,,,,,
169.4,0.131,73.88,0.131,,,,,
169.6,0.13,74.136,0.13,,,,,
169.8,0.129,74.234,0.129,,,,,
170,0.129,74.3,0.129,,,,,
170.2,0.129,74.362,0.129,,,,,
170.4,0.128,74.419,0.128,,,,,
170.6,0.128,74.435,0.128,,,,,
170.8,0.129,74.223,0.129,,,,,
171,0.128,74.424,0.128,,,,,
171.2,0.128,74.45,0.128,,,,,
171.4,0.129,74.328,0.129,,,,,
171.6,0.128,74.432,0.128,,,,,
171.8,0.128,74.461,0.128,,,,,
172,0.127,74.633,0.127,,,,,
172.2,0.128,74.399,0.128,,,,,
172.4,0.129,74.279,0.129,,,,,
172.6,0.128,74.417,0.128,,,,,
172.8,0.127,74.683,0.127,,,,,
173,0.126,74.832,0.126,,,,,
173.2,0.127,74.586,0.127,,,,,
173.4,0.126,74.865,0.126,,,,,
173.6,0.127,74.717,0.127,,,,,
173.8,0.125,74.94,0.125,,,,,
174,0.126,74.777,0.126,,,,,
174.2,0.126,74.882,0.126,,,,,
174.4,0.125,74.97,0.125,,,,,
174.6,0.125,74.944,0.125,,,,,
174.8,0.124,75.094,0.124,,,,,
175,0.124,75.118,0.124,,,,,
175.2,0.125,75.058,0.125,,,,,
175.4,0.126,74.903,0.126,,,,,
175.6,0.125,75.006,0.125,,,,,
175.8,0.124,75.182,0.124,,,,,
176,0.125,75.047,0.125,,,,,
176.2,0.124,75.202,0.124,,,,,
176.4,0.123,75.265,0.123,,,,,
176.6,0.124,75.118,0.124,,,,,
176.8,0.122,75.435,0.122,,,,,
177,0.123,75.327,0.123,,,,,
177.2,0.123,75.41,0.123,,,,,
177.4,0.124,75.131,0.124,,,,,
177.6,0.124,75.228,0.124,,,,,
177.8,0.122,75.451,0.122,,,,,
178,0.122,75.426,0.122,,,,,
178.2,0.122,75.54,0.122,,,,,
178.4,0.122,75.427,0.122,,,,,
178.6,0.124,75.113,0.124,,,,,
178.8,0.122,75.585,0.122,,,,,
179,0.123,75.363,0.123,,,,,
179.2,0.123,75.294,0.123,,,,,
179.4,0.121,75.601,0.121,,,,,
179.6,0.122,75.566,0.122,,,,,
179.8,0.122,75.443,0.122,,,,,
180,0.121,75.609,0.121,,,,,
180.2,0.122,75.429,0.122,,,,,
180.4,0.121,75.687,0.121,,,,,
180.6,0.121,75.636,0.121,,,,,
180.8,0.12,75.904,0.12,,,,,
181,0.12,75.854,0.12,,,,,
181.2,0.12,75.801,0.12,,,,,
181.4,0.12,75.881,0.12,,,,,
181.6,0.119,75.961,0.119,,,,,
181.8,0.12,75.847,0.12,,,,,
182,0.12,75.92,0.12,,,,,
182.2,0.12,75.91,0.12,,,,,
182.4,0.118,76.171,0.118,,,,,
182.6,0.119,76.064,0.119,,,,,
182.8,0.119,76.006,0.119,,,,,
183,0.119,76.021,0.119,,,,,
183.2,0.119,76.049,0.119,,,,,
183.4,0.118,76.288,0.118,,,,,
183.6,0.118,76.159,0.118,,,,,
183.8,0.117,76.305,0.117,,,,,
184,0.117,76.385,0.117,,,,,
184.2,0.117,76.324,0.117,,,,,
184.4,0.117,76.43,0.117,,,,,
184.6,0.117,76.425,0.117,,,,,
184.8,0.117,76.423,0.117,,,,,
185,0.117,76.37,0.117,,,,,
185.2,0.117,76.4,0.117,,,,,
185.4,0.116,76.521,0.116,,,,,
185.6,0.116,76.548,0.116,,,,,
185.8,0.117,76.354,0.117,,,,,
186,0.115,76.699,0.115,,,,,
186.2,0.116,76.561,0.116,,,,,
186.4,0.116,76.531,0.116,,,,,
186.6,0.117,76.444,0.117,,,,,
186.8,0.115,76.768,0.115,,,,,
187,0.114,76.838,0.114,,,,,
187.2,0.116,76.604,0.116,,,,,
187.4,0.115,76.801,0.115,,,,,
187.6,0.115,76.822,0.115,,,,,
187.8,0.115,76.818,0.115,,,,,
188,0.115,76.763,0.115,,,,,
188.2,0.114,76.908,0.114,,,,,
188.4,0.115,76.734,0.115,,,,,
188.6,0.115,76.793,0.115,,,,,
188.8,0.112,77.286,0.112,,,,,
189,0.113,77.138,0.113,,,,,
189.2,0.113,77.136,0.113,,,,,
189.4,0.113,77.054,0.113,,,,,
189.6,0.114,76.991,0.114,,,,,
189.8,0.115,76.819,0.115,,,,,
190,0.115,76.733,0.115,,,,,
190.2,0.113,77.061,0.113,,,,,
190.4,0.112,77.309,0.112,,,,,
190.6,0.114,76.961,0.114,,,,,
190.8,0.113,77.139,0.113,,,,,
191,0.112,77.243,0.112,,,,,
191.2,0.112,77.193,0.112,,,,,
191.4,0.113,77.031,0.113,,,,,
191.6,0.111,77.433,0.111,,,,,
191.8,0.112,77.278,0.112,,,,,
192,0.11,77.59,0.11,,,,,
192.2,0.112,77.315,0.112,,,,,
192.4,0.111,77.451,0.111,,,,,
192.6,0.111,77.384,0.111,,,,,
192.8,0.111,77.4,0.111,,,,,
193,0.11,77.557,0.11,,,,,
193.2,0.11,77.542,0.11,,,,,
193.4,0.111,77.467,0.111,,,,,
193.6,0.11,77.559,0.11,,,,,
193.8,0.11,77.544,0.11,,,,,
194,0.11,77.659,0.11,,,,,
194.2,0.109,77.756,0.109,,,,,
194.4,0.11,77.636,0.11,,,,,
194.6,0.11,77.56,0.11,,,,,
194.8,0.109,77.808,0.109,,,,,
195,0.109,77.838,0.109,,,,,
195.2,0.109,77.745,0.109,,,,,
195.4,0.11,77.583,0.11,,,,,
195.6,0.109,77.848,0.109,,,,,
195.8,0.109,77.828,0.109,,,,,
196,0.108,77.919,0.108,,,,,
196.2,0.11,77.574,0.11,,,,,
196.4,0.109,77.746,0.109,,,,,
196.6,0.109,77.74,0.109,,,,,
196.8,0.11,77.626,0.11,,,,,
197,0.11,77.707,0.11,,,,,
197.2,0.109,77.774,0.109,,,,,
197.4,0.109,77.804,0.109,,,,,
197.6,0.11,77.597,0.11,,,,,
197.8,0.111,77.525,0.111,,,,,
198,0.108,77.983,0.108,,,,,
198.2,0.108,77.947,0.108,,,,,
198.4,0.107,78.161,0.107,,,,,
198.6,0.108,77.995,0.108,,,,,
198.8,0.106,78.277,0.106,,,,,
199,0.108,77.982,0.108,,,,,
199.2,0.106,78.306,0.106,,,,,
199.4,0.107,78.106,0.107,,,,,
199.6,0.108,78.023,0.108,,,,,
199.8,0.106,78.403,0.106,,,,,
200,0.107,78.23,0.107,,,,,
200.2,0.106,78.37,0.106,,,,,
200.4,0.106,78.412,0.106,,,,,
200.6,0.106,78.383,0.106,,,,,
200.8,0.104,78.729,0.104,,,,,
201,0.105,78.51,0.105,,,,,
201.2,0.105,78.524,0.105,,,,,
201.4,0.105,78.439,0.105,,,,,
201.6,0.105,78.472,0.105,,,,,
201.8,0.106,78.327,0.106,,,,,
202,0.105,78.517,0.105,,,,,
202.2,0.105,78.448,0.105,,,,,
202.4,0.106,78.411,0.106,,,,,
202.6,0.103,78.871,0.103,,,,,
202.8,0.106,78.421,0.106,,,,,
203,0.105,78.539,0.105,,,,,
203.2,0.105,78.475,0.105,,,,,
203.4,0.104,78.733,0.104,,,,,
203.6,0.104,78.767,0.104,,,,,
203.8,0.104,78.721,0.104,,,,,
204,0.102,79.01,0.102,,,,,
204.2,0.103,78.804,0.103,,,,,
204.4,0.103,78.902,0.103,,,,,
204.6,0.105,78.598,0.105,,,,,
204.8,0.104,78.79,0.104,,,,,
205,0.104,78.749,0.104,,,,,
205.2,0.103,78.966,0.103,,,,,
205.4,0.102,79.082,0.102,,,,,
205.6,0.102,79.032,0.102,,,,,
205.8,0.102,78.994,0.102,,,,,
206,0.103,78.945,0.103,,,,,
206.2,0.103,78.945,0.103,,,,,
206.4,0.101,79.194,0.101,,,,,
206.6,0.102,79.03,0.102,,,,,
206.8,0.101,79.319,0.101,,,,,
207,0.102,79.105,0.102,,,,,
207.2,0.101,79.272,0.101,,,,,
207.4,0.101,79.198,0.101,,,,,
207.6,0.101,79.255,0.101,,,,,
207.8,0.102,78.983,0.102,,,,,
208,0.101,79.162,0.101,,,,,
208.2,0.1,79.364,0.1,,,,,
208.4,0.101,79.26,0.101,,,,,
208.6,0.101,79.283,0.101,,,,,
208.8,0.101,79.241,0.101,,,,,
209,0.101,79.218,0.101,,,,,
209.2,0.101,79.253,0.101,,,,,
209.4,0.099,79.537,0.099,,,,,
209.6,0.101,79.289,0.101,,,,,
209.8,0.1,79.445,0.1,,,,,
210,0.101,79.326,0.101,,,,,
210.2,0.099,79.704,0.099,,,,,
210.4,0.099,79.528,0.099,,,,,
210.6,0.1,79.378,0.1,,,,,
210.8,0.101,79.305,0.101,,,,,
211,0.1,79.462,0.1,,,,,
211.2,0.098,79.747,0.098,,,,,
211.4,0.1,79.514,0.1,,,,,
211.6,0.098,79.834,0.098,,,,,
211.8,0.099,79.655,0.099,,,,,
212,0.099,79.609,0.099,,,,,
212.2,0.099,79.67,0.099,,,,,
212.4,0.098,79.846,0.098,,,,,
212.6,0.097,79.976,0.097,,,,,
212.8,0.099,79.689,0.099,,,,,
213,0.098,79.883,0.098,,,,,
213.2,0.097,79.983,0.097,,,,,
213.4,0.099,79.544,0.099,,,,,
213.6,0.099,79.578,0.099,,,,,
213.8,0.099,79.646,0.099,,,,,
214,0.098,79.777,0.098,,,,,
214.2,0.097,80.06,0.097,,,,,
214.4,0.098,79.792,0.098,,,,,
214.6,0.098,79.852,0.098,,,,,
214.8,0.097,79.914,0.097,,,,,
215,0.098,79.812,0.098,,,,,
215.2,0.097,80.04,0.097,,,,,
215.4,0.097,79.949,0.097,,,,,
215.6,0.096,80.108,0.096,,,,,
215.8,0.096,80.204,0.096,,,,,
216,0.097,79.909,0.097,,,,,
216.2,0.097,79.96,0.097,,,,,
216.4,0.096,80.078,0.096,,,,,
216.6,0.097,79.922,0.097,,,,,
216.8,0.096,80.077,0.096,,,,,
217,0.096,80.233,0.096,,,,,
217.2,0.095,80.271,0.095,,,,,
217.4,0.097,80.008,0.097,,,,,
217.6,0.095,80.273,0.095,,,,,
217.8,0.096,80.085,0.096,,,,,
218,0.097,80.068,0.097,,,,,
218.2,0.096,80.173,0.096,,,,,
218.4,0.096,80.153,0.096,,,,,
218.6,0.096,80.132,0.096,,,,,
218.8,0.096,80.204,0.096,,,,,
219,0.095,80.348,0.095,,,,,
219.2,0.097,80.069,0.097,,,,,
219.4,0.096,80.166,0.096,,,,,
219.6,0.095,80.324,0.095,,,,,
219.8,0.095,80.42,0.095,,,,,
220,0.094,80.477,0.094,,,,,
220.2,0.095,80.342,0.095,,,,,
220.4,0.093,80.693,0.093,,,,,
220.6,0.095,80.384,0.095,,,,,
220.8,0.095,80.404,0.095,,,,,
221,0.095,80.382,0.095,,,,,
221.2,0.094,80.486,0.094,,,,,
221.4,0.093,80.718,0.093,,,,,
221.6,0.094,80.483,0.094,,,,,
221.8,0.094,80.587,0.094,,,,,
222,0.094,80.507,0.094,,,,,
222.2,0.094,80.494,0.094,,,,,
222.4,0.094,80.6,0.094,,,,,
222.6,0.093,80.642,0.093,,,,,
222.8,0.092,80.817,0.092,,,,,
223,0.092,80.995,0.092,,,,,
223.2,0.093,80.658,0.093,,,,,
223.4,0.093,80.771,0.093,,,,,
223.6,0.092,80.864,0.092,,,,,
223.8,0.092,80.847,0.092,,,,,
224,0.092,80.873,0.092,,,,,
224.2,0.092,80.929,0.092,,,,,
224.4,0.092,80.876,0.092,,,,,
224.6,0.092,80.912,0.092,,,,,
224.8,0.093,80.636,0.093,,,,,
225,0.092,80.822,0.092,,,,,
225.2,0.092,80.893,0.092,,,,,
225.4,0.092,80.937,0.092,,,,,
225.6,0.092,80.858,0.092,,,,,
225.8,0.092,81,0.092,,,,,
226,0.092,80.989,0.092,,,,,
226.2,0.093,80.755,0.093,,,,,
226.4,0.094,80.617,0.094,,,,,
226.6,0.092,80.882,0.092,,,,,
226.8,0.091,81.015,0.091,,,,,
227,0.092,80.939,0.092,,,,,
227.2,0.09,81.218,0.09,,,,,
227.4,0.091,81.082,0.091,,,,,
227.6,0.09,81.201,0.09,,,,,
227.8,0.091,81.102,0.091,,,,,
228,0.091,81.053,0.091,,,,,
228.2,0.09,81.213,0.09,,,,,
228.4,0.09,81.251,0.09,,,,,
228.6,0.091,81.061,0.091,,,,,
228.8,0.09,81.228,0.09,,,,,
229,0.092,81.001,0.092,,,,,
229.2,0.091,81.114,0.091,,,,,
229.4,0.088,81.58,0.088,,,,,
229.6,0.09,81.331,0.09,,,,,
229.8,0.09,81.311,0.09,,,,,
230,0.089,81.544,0.089,,,,,
230.2,0.091,81.162,0.091,,,,,
230.4,0.09,81.301,0.09,,,,,
230.6,0.09,81.322,0.09,,,,,
230.8,0.09,81.327,0.09,,,,,
231,0.089,81.531,0.089,,,,,
231.2,0.087,81.763,0.087,,,,,
231.4,0.09,81.286,0.09,,,,,
231.6,0.09,81.336,0.09,,,,,
231.8,0.088,81.596,0.088,,,,,
232,0.09,81.316,0.09,,,,,
232.2,0.088,81.594,0.088,,,,,
232.4,0.088,81.681,0.088,,,,,
232.6,0.087,81.78,0.087,,,,,
232.8,0.089,81.555,0.089,,,,,
233,0.088,81.661,0.088,,,,,
233.2,0.087,81.847,0.087,,,,,
233.4,0.089,81.515,0.089,,,,,
233.6,0.088,81.651,0.088,,,,,
233.8,0.088,81.582,0.088,,,,,
234,0.088,81.608,0.088,,,,,
234.2,0.088,81.705,0.088,,,,,
234.4,0.088,81.608,0.088,,,,,
234.6,0.088,81.724,0.088,,,,,
234.8,0.089,81.547,0.089,,,,,
235,0.088,81.631,0.088,,,,,
235.2,0.088,81.607,0.088,,,,,
235.4,0.088,81.613,0.088,,,,,
235.6,0.089,81.407,0.089,,,,,
235.8,0.089,81.53,0.089,,,,,
236,0.088,81.571,0.088,,,,,
236.2,0.089,81.532,0.089,,,,,
236.4,0.088,81.577,0.088,,,,,
236.6,0.088,81.663,0.088,,,,,
236.8,0.088,81.74,0.088,,,,,
237,0.087,81.807,0.087,,,,,
237.2,0.087,81.794,0.087,,,,,
237.4,0.086,81.958,0.086,,,,,
237.6,0.087,81.791,0.087,,,,,
237.8,0.087,81.792,0.087,,,,,
238,0.086,81.98,0.086,,,,,
238.2,0.088,81.735,0.088,,,,,
238.4,0.087,81.855,0.087,,,,,
238.6,0.087,81.885,0.087,,,,,
238.8,0.087,81.858,0.087,,,,,
239,0.086,82.112,0.086,,,,,
239.2,0.087,81.911,0.087,,,,,
239.4,0.086,81.976,0.086,,,,,
239.6,0.086,81.943,0.086,,,,,
239.8,0.087,81.923,0.087,,,,,
240,0.086,82.064,0.086,,,,,
240.2,0.086,82.047,0.086,,,,,
240.4,0.086,81.974,0.086,,,,,
240.6,0.086,82.064,0.086,,,,,
240.8,0.086,82.107,0.086,,,,,
241,0.085,82.171,0.085,,,,,
241.2,0.086,82.016,0.086,,,,,
241.4,0.086,82.021,0.086,,,,,
241.6,0.085,82.152,0.085,,,,,
241.8,0.085,82.273,0.085,,,,,
242,0.085,82.144,0.085,,,,,
242.2,0.084,82.404,0.084,,,,,
242.4,0.084,82.339,0.084,,,,,
242.6,0.086,81.969,0.086,,,,,
242.8,0.085,82.257,0.085,,,,,
243,0.085,82.235,0.085,,,,,
243.2,0.084,82.402,0.084,,,,,
243.4,0.085,82.25,0.085,,,,,
243.6,0.085,82.302,0.085,,,,,
243.8,0.085,82.202,0.085,,,,,
244,0.084,82.486,0.084,,,,,
244.2,0.084,82.476,0.084,,,,,
244.4,0.083,82.621,0.083,,,,,
244.6,0.084,82.425,0.084,,,,,
244.8,0.084,82.444,0.084,,,,,
245,0.084,82.495,0.084,,,,,
245.2,0.085,82.282,0.085,,,,,
245.4,0.084,82.492,0.084,,,,,
245.6,0.083,82.688,0.083,,,,,
245.8,0.084,82.421,0.084,,,,,
246,0.083,82.554,0.083,,,,,
246.2,0.084,82.475,0.084,,,,,
246.4,0.082,82.845,0.082,,,,,
246.6,0.084,82.421,0.084,,,,,
246.8,0.083,82.673,0.083,,,,,
247,0.083,82.574,0.083,,,,,
247.2,0.084,82.504,0.084,,,,,
247.4,0.083,82.576,0.083,,,,,
247.6,0.084,82.506,0.084,,,,,
247.8,0.083,82.641,0.083,,,,,
248,0.084,82.449,0.084,,,,,
248.2,0.082,82.705,0.082,,,,,
248.4,0.083,82.611,0.083,,,,,
248.6,0.082,82.846,0.082,,,,,
248.8,0.082,82.702,0.082,,,,,
249,0.083,82.611,0.083,,,,,
249.2,0.081,82.901,0.081,,,,,
249.4,0.082,82.727,0.082,,,,,
249.6,0.083,82.653,0.083,,,,,
249.8,0.083,82.615,0.083,,,,,
250,0.083,82.696,0.083,,,,,
250.2,0.084,82.505,0.084,,,,,
250.4,0.083,82.67,0.083,,,,,
250.6,0.082,82.839,0.082,,,,,
250.8,0.082,82.726,0.082,,,,,
251,0.081,83.003,0.081,,,,,
251.2,0.081,82.981,0.081,,,,,
251.4,0.081,82.904,0.081,,,,,
251.6,0.082,82.706,0.082,,,,,
251.8,0.082,82.718,0.082,,,,,
252,0.081,83.027,0.081,,,,,
252.2,0.081,82.992,0.081,,,,,
252.4,0.081,82.973,0.081,,,,,
252.6,0.082,82.761,0.082,,,,,
252.8,0.08,83.082,0.08,,,,,
253,0.08,83.165,0.08,,,,,
253.2,0.081,82.979,0.081,,,,,
253.4,0.081,83.056,0.081,,,,,
253.6,0.081,83.062,0.081,,,,,
253.8,0.08,83.213,0.08,,,,,
254,0.081,82.958,0.081,,,,,
254.2,0.081,82.916,0.081,,,,,
254.4,0.08,83.197,0.08,,,,,
254.6,0.08,83.198,0.08,,,,,
254.8,0.08,83.168,0.08,,,,,
255,0.081,83.038,0.081,,,,,
255.2,0.079,83.367,0.079,,,,,
255.4,0.081,83.062,0.081,,,,,
255.6,0.081,83.04,0.081,,,,,
255.8,0.08,83.14,0.08,,,,,
256,0.081,83.015,0.081,,,,,
256.2,0.082,82.854,0.082,,,,,
256.4,0.079,83.305,0.079,,,,,
256.6,0.08,83.163,0.08,,,,,
256.8,0.079,83.343,0.079,,,,,
257,0.08,83.127,0.08,,,,,
257.2,0.08,83.202,0.08,,,,,
257.4,0.08,83.166,0.08,,,,,
257.6,0.081,82.942,0.081,,,,,
257.8,0.08,83.237,0.08,,,,,
258,0.081,83.042,0.081,,,,,
258.2,0.08,83.241,0.08,,,,,
258.4,0.078,83.535,0.078,,,,,
258.6,0.079,83.343,0.079,,,,,
258.8,0.079,83.426,0.079,,,,,
259,0.08,83.206,0.08,,,,,
259.2,0.08,83.233,0.08,,,,,
259.4,0.081,83.067,0.081,,,,,
259.6,0.08,83.239,0.08,,,,,
259.8,0.079,83.421,0.079,,,,,
260,0.08,83.227,0.08,,,,,
260.2,0.08,83.225,0.08,,,,,
260.4,0.079,83.373,0.079,,,,,
260.6,0.079,83.404,0.079,,,,,
260.8,0.078,83.625,0.078,,,,,
261,0.078,83.525,0.078,,,,,
261.2,0.078,83.536,0.078,,,,,
261.4,0.078,83.571,0.078,,,,,
261.6,0.078,83.63,0.078,,,,,
261.8,0.078,83.496,0.078,,,,,
262,0.077,83.774,0.077,,,,,
262.2,0.079,83.414,0.079,,,,,
262.4,0.077,83.757,0.077,,,,,
262.6,0.077,83.658,0.077,,,,,
262.8,0.077,83.68,0.077,,,,,
263,0.077,83.694,0.077,,,,,
263.2,0.077,83.695,0.077,,,,,
263.4,0.078,83.643,0.078,,,,,
263.6,0.077,83.709,0.077,,,,,
263.8,0.077,83.674,0.077,,,,,
264,0.078,83.561,0.078,,,,,
264.2,0.076,83.953,0.076,,,,,
264.4,0.077,83.71,0.077,,,,,
264.6,0.078,83.62,0.078,,,,,
264.8,0.078,83.564,0.078,,,,,
265,0.077,83.752,0.077,,,,,
265.2,0.077,83.734,0.077,,,,,
265.4,0.078,83.511,0.078,,,,,
265.6,0.077,83.766,0.077,,,,,
265.8,0.076,83.889,0.076,,,,,
266,0.077,83.725,0.077,,,,,
266.2,0.077,83.744,0.077,,,,,
266.4,0.076,83.999,0.076,,,,,
266.6,0.077,83.8,0.077,,,,,
266.8,0.076,83.869,0.076,,,,,
267,0.077,83.823,0.077,,,,,
267.2,0.075,84.113,0.075,,,,,
267.4,0.076,83.861,0.076,,,,,
267.6,0.075,84.134,0.075,,,,,
267.8,0.077,83.743,0.077,,,,,
268,0.076,83.854,0.076,,,,,
268.2,0.076,83.96,0.076,,,,,
268.4,0.077,83.786,0.077,,,,,
268.6,0.075,84.06,0.075,,,,,
268.8,0.075,84.089,0.075,,,,,
269,0.076,83.943,0.076,,,,,
269.2,0.076,83.953,0.076,,,,,
269.4,0.075,84.123,0.075,,,,,
269.6,0.076,83.937,0.076,,,,,
269.8,0.075,84.077,0.075,,,,,
270,0.075,84.097,0.075,,,,,
270.2,0.075,84.164,0.075,,,,,
270.4,0.075,84.144,0.075,,,,,
270.6,0.074,84.389,0.074,,,,,
270.8,0.075,84.15,0.075,,,,,
271,0.076,84.035,0.076,,,,,
271.2,0.075,84.102,0.075,,,,,
271.4,0.076,83.996,0.076,,,,,
271.6,0.075,84.208,0.075,,,,,
271.8,0.076,84,0.076,,,,,
272,0.075,84.167,0.075,,,,,
272.2,0.074,84.385,0.074,,,,,
272.4,0.075,84.061,0.075,,,,,
272.6,0.074,84.243,0.074,,,,,
272.8,0.075,84.234,0.075,,,,,
273,0.075,84.099,0.075,,,,,
273.2,0.076,83.994,0.076,,,,,
273.4,0.074,84.32,0.074,,,,,
273.6,0.075,84.071,0.075,,,,,
273.8,0.074,84.371,0.074,,,,,
274,0.074,84.311,0.074,,,,,
274.2,0.075,84.2,0.075,,,,,
274.4,0.074,84.413,0.074,,,,,
274.6,0.074,84.416,0.074,,,,,
274.8,0.074,84.385,0.074,,,,,
275,0.075,84.195,0.075,,,,,
275.2,0.074,84.28,0.074,,,,,
275.4,0.073,84.466,0.073,,,,,
275.6,0.075,84.215,0.075,,,,,
275.8,0.074,84.305,0.074,,,,,
276,0.074,84.266,0.074,,,,,
276.2,0.073,84.572,0.073,,,,,
276.4,0.074,84.335,0.074,,,,,
276.6,0.073,84.464,0.073,,,,,
276.8,0.073,84.574,0.073,,,,,
277,0.073,84.583,0.073,,,,,
277.2,0.074,84.363,0.074,,,,,
277.4,0.073,84.492,0.073,,,,,
277.6,0.073,84.56,0.073,,,,,
277.8,0.073,84.516,0.073,,,,,
278,0.074,84.394,0.074,,,,,
278.2,0.074,84.399,0.074,,,,,
278.4,0.073,84.482,0.073,,,,,
278.6,0.073,84.61,0.073,,,,,
278.8,0.072,84.676,0.072,,,,,
279,0.073,84.624,0.073,,,,,
279.2,0.074,84.371,0.074,,,,,
279.4,0.073,84.456,0.073,,,,,
279.6,0.073,84.494,0.073,,,,,
279.8,0.073,84.476,0.073,,,,,
280,0.072,84.661,0.072,,,,,
280.2,0.072,84.628,0.072,,,,,
280.4,0.072,84.73,0.072,,,,,
280.6,0.072,84.669,0.072,,,,,
280.8,0.072,84.694,0.072,,,,,
281,0.072,84.638,0.072,,,,,
281.2,0.072,84.676,0.072,,,,,
281.4,0.073,84.616,0.073,,,,,
281.6,0.071,84.904,0.071,,,,,
281.8,0.072,84.792,0.072,,,,,
282,0.072,84.63,0.072,,,,,
282.2,0.071,84.867,0.071,,,,,
282.4,0.072,84.658,0.072,,,,,
282.6,0.073,84.624,0.073,,,,,
282.8,0.072,84.741,0.072,,,,,
283,0.072,84.68,0.072,,,,,
283.2,0.073,84.612,0.073,,,,,
283.4,0.073,84.592,0.073,,,,,
283.6,0.072,84.801,0.072,,,,,
283.8,0.071,85.002,0.071,,,,,
284,0.071,84.997,0.071,,,,,
284.2,0.07,85.04,0.07,,,,,
284.4,0.071,84.857,0.071,,,,,
284.6,0.072,84.685,0.072,,,,,
284.8,0.071,85.01,0.071,,,,,
285,0.071,84.964,0.071,,,,,
285.2,0.071,84.889,0.071,,,,,
285.4,0.071,84.961,0.071,,,,,
285.6,0.071,85.013,0.071,,,,,
285.8,0.071,84.866,0.071,,,,,
